# 
x,y,rho,u,v,P,e_internal
0.885,0.005,0.781097,1.82951,0,0.287739,0.920945
0.895,0.005,0.810883,1.85413,0,0.302108,0.931417
0.905,0.005,0.838526,1.87649,0,0.315673,0.941153
0.915,0.005,0.863851,1.89658,0,0.328299,0.950104
0.925,0.005,0.886739,1.91442,0,0.339883,0.958239
0.935,0.005,0.907191,1.93003,0,0.350379,0.965561
0.945,0.005,0.925419,1.94323,0,0.35986,0.972154
0.955,0.005,0.943005,1.95347,0,0.369156,0.978669
0.965,0.005,0.963279,1.95518,0,0.380107,0.986493
0.975,0.005,1.02064,1.94138,0,0.412823,1.01119
0.985,0.005,1.11531,1.79065,0,0.477115,1.06947
0.995,0.005,2.342,1.66451,0,1.03661,1.10654
0.005,0.015,2.342,-1.66451,0,1.03661,1.10654
0.015,0.015,1.11531,-1.79065,0,0.477115,1.06947
0.025,0.015,1.02064,-1.94138,0,0.412823,1.01119
0.035,0.015,0.963279,-1.95518,0,0.380107,0.986493
0.045,0.015,0.943005,-1.95347,0,0.369156,0.978669
0.055,0.015,0.925419,-1.94323,0,0.35986,0.972154
0.065,0.015,0.907191,-1.93003,0,0.350379,0.965561
0.075,0.015,0.886739,-1.91442,0,0.339883,0.958239
0.085,0.015,0.863851,-1.89658,0,0.328299,0.950104
0.095,0.015,0.838526,-1.87649,0,0.315673,0.941153
0.105,0.015,0.810883,-1.85413,0,0.302108,0.931417
0.115,0.015,0.781097,-1.82951,0,0.287739,0.920945
0.125,0.015,0.749395,-1.80264,0,0.272718,0.909795
0.135,0.015,0.716039,-1.77353,0,0.257209,0.898029
0.145,0.015,0.681315,-1.74224,0,0.24138,0.885713
0.155,0.015,0.645529,-1.7088,0,0.225395,0.87291
0.165,0.015,0.608994,-1.67328,0,0.209417,0.859682
0.175,0.015,0.572023,-1.63571,0,0.193593,0.846088
0.185,0.015,0.534924,-1.59616,0,0.178061,0.832177
0.195,0.015,0.497991,-1.55468,0,0.162942,0.817995
