p,Time (s),Speedup,Efficiency
1,12.630700,1.000000,1.000000
2,7.200240,1.754205,0.877103
3,5.308050,2.379537,0.793179
4,7.992680,1.580283,0.395071
5,10.879000,1.161017,0.232203
6,6.224840,2.029080,0.338180
7,5.233330,2.413511,0.344787
8,16.836200,0.750211,0.093776
9,29.804500,0.423785,0.047087
