# x y x_over_c Cp side
0.994 -0.0268488 0.994 0.204719 L
0.804324 0.00250009 0.804324 -0.034241 U
0.0679763 0.0381476 0.0679763 -0.52225 U
0.602003 0.0281334 0.602003 -1.05503 U
0.70127 0.0162803 0.70127 -0.0898353 U
0.0447196 0.0322776 0.0447196 -0.377807 U
0.0152865 0.0199711 0.0152865 0.104629 U
0.570198 0.0315864 0.570198 -1.05842 U
0.681431 0.0187703 0.681431 -0.0949942 U
0.458731 0.0421545 0.458731 -1.04782 U
0.0955272 0.0430736 0.0955272 -0.645517 U
0.697302 0.0167827 0.697302 -0.0907839 U
0.740929 0.0111511 0.740929 -0.0750568 U
0.800363 0.00305569 0.800363 -0.0367287 U
0.677462 0.0192614 0.677462 -0.0965615 U
0.566221 0.0320059 0.566221 -1.05964 U
0.598028 0.0285758 0.598028 -1.05494 U
0.812243 0.00138128 0.812243 -0.0283649 U
0.689367 0.017781 0.689367 -0.0938348 U
0.649672 0.0226249 0.649672 -0.0923947 U
0.454745 0.0424815 0.454745 -1.04725 U
0.962465 -0.0215121 0.962465 0.172951 L
0.0601725 0.0363978 0.0601725 -0.504152 U
0.938779 -0.017683 0.938779 0.122897 L
0.351005 0.0493517 0.351005 -1.00726 U
0.179121 0.0507116 0.179121 -0.806834 U
0.354999 0.0491533 0.354999 -1.00669 U
0.430825 0.0443508 0.430825 -1.03692 U
0.378956 0.047833 0.378956 -1.01803 U
0.426837 0.0446454 0.426837 -1.03526 U
0.41886 0.0452199 0.41886 -1.03211 U
0.315047 0.0508657 0.315047 -0.974308 U
0.398912 0.0465835 0.398912 -1.02612 U
0.394921 0.0468432 0.394921 -1.02492 U
0.875553 -0.00787064 0.875553 0.0326843 L
0.283068 0.0517617 0.283068 -0.932168 U
0.64173 0.0235651 0.64173 -0.0995104 U
0.482637 0.0401127 0.482637 -1.05235 U
0.000735745 0.00185757 0.000735745 1.16107 U
0.0797463 0.0404662 0.0797463 -0.540478 U
0.835993 -0.00202928 0.835993 -0.00691329 L
0.494587 0.0390464 0.494587 -1.05447 U
0.00213519 0.0056009 0.00213519 1.04361 U
0.824119 -0.000314561 0.824119 -0.0176631 L
0.151178 0.049059 0.151178 -0.740752 U
0.76471 0.0079658 0.76471 -0.0612053 U
0.990091 -0.026024 0.990091 0.217581 L
0.950624 -0.0195832 0.950624 0.144483 L
0.974302 -0.0234615 0.974302 0.205175 L
0.120392 -0.0536444 0.120392 -0.340386 L
0.16714 0.0500919 0.16714 -0.782217 U
0.386939 0.0473481 0.386939 -1.02073 U
0.554289 0.0332498 0.554289 -1.0608 U
0.374964 0.0480675 0.374964 -1.01793 U
0.339021 0.0499092 0.339021 -0.999154 U
0.0758156 0.0397309 0.0758156 -0.534101 U
0.366979 0.0485197 0.366979 -1.01456 U
0.347011 0.0495435 0.347011 -1.00208 U
0.179861 -0.0614102 0.179861 -0.469729 L
0.863689 -0.0060932 0.863689 0.0193673 L
0.4388 0.0437464 0.4388 -1.03925 U
0.183116 0.0508909 0.183116 -0.811682 U
0.406892 0.0460508 0.406892 -1.02756 U
0.45552 -0.06865 0.45552 -0.389699 L
0.414871 0.0455009 0.414871 -1.02988 U
0.359554 -0.0696767 0.359554 -0.467727 L
0.45076 0.0428043 0.45076 -1.04438 U
0.834707 -0.0463886 0.834707 -0.0394749 L
0.343559 -0.0695566 0.343559 -0.565479 L
0.792442 0.00415918 0.792442 -0.0413651 U
0.1991 0.0514809 0.1991 -0.839354 U
0.470686 0.0411499 0.470686 -1.04816 U
0.235662 -0.0658998 0.235662 -0.546985 L
0.887414 -0.00966921 0.887414 0.0469987 L
0.347558 -0.0695965 0.347558 -0.557801 L
0.478654 0.0404618 0.478654 -1.05088 U
0.323039 0.0505715 0.323039 -0.984186 U
0.922981 -0.0151725 0.922981 0.0952199 L
0.946676 -0.0189475 0.946676 0.137875 L
0.131254 0.047385 0.131254 -0.724359 U
0.10741 0.0447213 0.10741 -0.705504 U
0.526438 0.0360528 0.526438 -1.06377 U
0.163148 0.0498568 0.163148 -0.772567 U
0.115348 0.0456963 0.115348 -0.724343 U
0.90639 -0.0398558 0.90639 0.0430655 L
0.065653 -0.0420202 0.065653 -0.133734 L
0.303056 0.051257 0.303056 -0.959914 U
0.669524 0.0202358 0.669524 -0.0968228 U
0.159157 0.0496066 0.159157 -0.761639 U
0.780558 0.00580085 0.780558 -0.0503226 U
0.119321 0.04615 0.119321 -0.720399 U
0.327035 0.0504149 0.327035 -0.988277 U
0.970356 -0.0228111 0.970356 0.192715 L
0.490604 0.0394049 0.490604 -1.05419 U
0.514496 0.0372042 0.514496 -1.05998 U
0.259077 0.0520959 0.259077 -0.895558 U
0.459517 -0.0685503 0.459517 -0.385548 L
0.124339 -0.0542855 0.124339 -0.35046 L
0.653643 0.022152 0.653643 -0.098011 U
0.538376 0.0348701 0.538376 -1.06441 U
0.243082 0.0521504 0.243082 -0.871528 U
0.522457 0.0364403 0.522457 -1.06331 U
0.18384 -0.0618076 0.18384 -0.467556 L
0.163959 -0.0596873 0.163959 -0.435787 L
0.506533 0.0379526 0.506533 -1.05734 U
0.93483 -0.0170526 0.93483 0.115486 L
0.363553 -0.069691 0.363553 -0.465708 L
0.239654 -0.0661403 0.239654 -0.539291 L
0.351557 -0.0696297 0.351557 -0.527933 L
0.10464 -0.0508666 0.10464 -0.300176 L
0.550311 0.0336592 0.550311 -1.06284 U
0.562244 0.032423 0.562244 -1.05878 U
0.103445 0.044198 0.103445 -0.681208 U
0.838691 -0.0460434 0.838691 -0.0353667 L
0.958518 -0.0208659 0.958518 0.161516 L
0.399543 -0.0695747 0.399543 -0.45207 L
0.794857 -0.0497243 0.794857 -0.0787944 L
0.51947 -0.0666359 0.51947 -0.326157 L
0.919031 -0.0145505 0.919031 0.0881606 L
0.910371 -0.0394728 0.910371 0.0472814 L
0.191107 0.0512108 0.191107 -0.825715 U
0.946184 -0.0359087 0.946184 0.106956 L
0.71317 0.0147612 0.71317 -0.0855557 U
0.534397 0.0352676 0.534397 -1.06393 U
0.607349 -0.062518 0.607349 -0.242364 L
0.747015 -0.0534497 0.747015 -0.122234 L
0.582127 0.0303142 0.582127 -1.05388 U
0.0524148 0.0344545 0.0524148 -0.451336 U
0.911129 -0.0133153 0.911129 0.07695 L
0.203098 0.0515979 0.203098 -0.849377 U
0.223088 0.0520079 0.223088 -0.852038 U
0.878521 -0.0424807 0.878521 0.00751587 L
0.443526 -0.0689242 0.443526 -0.404319 L
0.03164 -0.0303562 0.03164 0.164305 L
0.295062 0.0514821 0.295062 -0.950738 U
0.760747 0.00850219 0.760747 -0.0633351 U
0.502552 0.0383207 0.502552 -1.05661 U
0.883461 -0.00906758 0.883461 0.0420617 L
0.637759 0.0240324 0.637759 -0.0985527 U
0.287066 0.0516766 0.287066 -0.937666 U
0.00789634 -0.0158023 0.00789634 0.780612 L
0.859733 -0.00550605 0.859733 0.014816 L
0.143204 0.048444 0.143204 -0.739646 U
