# x y x_over_c Cp side
0.587483 0.0466524 0.587483 -0.858134 U
0.0967003 -0.0462588 0.0967003 -0.376984 L
0.653225 0.041033 0.653225 -0.869164 U
0.221987 0.0584702 0.221987 -0.635184 U
0.215994 0.0582056 0.215994 -0.62663 U
0.581503 0.0471259 0.581503 -0.856228 U
0.23997 -0.059125 0.23997 -0.671701 L
0.174088 -0.0556108 0.174088 -0.575537 L
0.0194019 -0.0232536 0.0194019 0.242257 L
0.165121 -0.0548704 0.165121 -0.554024 L
0.177078 0.0558421 0.177078 -0.57443 U
0.22798 0.058711 0.22798 -0.635514 U
0.287948 0.0599862 0.287948 -0.697912 U
0.335934 0.0597321 0.335934 -0.724549 U
0.470793 0.0546832 0.470793 -0.838365 U
0.189045 -0.0566931 0.189045 -0.603283 L
0.464804 0.0550185 0.464804 -0.835199 U
0.383906 0.0585866 0.383906 -0.770506 U
0.730846 0.0335738 0.730846 -0.878368 U
0.28195 0.0599448 0.28195 -0.688232 U
0.230978 -0.0588228 0.230978 -0.667241 L
0.437848 0.0564156 0.437848 -0.816616 U
0.198024 0.0572573 0.198024 -0.60425 U
0.323938 0.0598837 0.323938 -0.718889 U
0.275952 0.0598844 0.275952 -0.683092 U
0.314941 -0.0599613 0.314941 -0.75567 L
0.022045 -0.02467 0.022045 0.198355 L
0.53365 0.0506985 0.53365 -0.856659 U
0.0790292 0.0428649 0.0790292 -0.30541 U
0.422867 -0.057101 0.422867 -0.790806 L
0.389901 0.0583861 0.389901 -0.77583 U
0.31794 0.0599391 0.31794 -0.714 U
0.350927 -0.0594692 0.350927 -0.772046 L
0.269954 0.0598046 0.269954 -0.677452 U
0.365919 -0.0591174 0.365919 -0.775215 L
0.251962 0.0594549 0.251962 -0.661922 U
0.383906 -0.0585866 0.383906 -0.77999 L
0.365919 0.0591174 0.365919 -0.754922 U
0.677117 -0.0388316 0.677117 -0.880962 L
0.440843 -0.0562703 0.440843 -0.804547 L
0.981015 -0.00392393 0.981015 0.263455 L
0.742781 0.0323541 0.742781 -0.881395 U
0.299945 -0.0600159 0.299945 -0.739924 L
0.40189 0.0579527 0.40189 -0.784856 U
0.668159 -0.0396686 0.668159 -0.878923 L
0.42886 0.0568354 0.42886 -0.80741 U
0.521681 -0.0515261 0.521681 -0.848045 L
0.476782 -0.0543398 0.476782 -0.826294 L
0.11447 -0.0490921 0.11447 -0.415153 L
0.677117 0.0388316 0.677117 -0.873336 U
0.168109 0.0551252 0.168109 -0.574332 U
0.811365 -0.0249661 0.811365 0.05137 L
0.656212 -0.0407632 0.656212 -0.875774 L
0.820306 -0.0239553 0.820306 0.0569491 L
0.548607 0.0496234 0.548607 -0.858772 U
0.790498 0.0272761 0.790498 0.0362865 U
0.467799 -0.0548519 0.467799 -0.821438 L
0.159146 0.054336 0.159146 -0.577732 U
0.641276 0.0421011 0.641276 -0.869122 U
0.766643 -0.0298506 0.766643 0.0221937 L
0.873925 -0.0176765 0.873925 0.0947593 L
0.766643 0.0298506 0.766643 0.0198955 U
0.817326 0.0242935 0.817326 0.047444 U
0.93047 0.0106135 0.93047 0.149795 U
0.864992 -0.0187514 0.864992 0.0872457 L
0.739797 0.0326612 0.739797 -0.880532 U
0.650238 0.0413015 0.650238 -0.869319 U
0.23997 0.059125 0.23997 -0.648398 U
0.644263 0.0418356 0.644263 -0.869843 U
0.906669 0.0136446 0.906669 0.119111 U
0.802423 0.0259647 0.802423 0.0394776 U
0.826266 0.0232752 0.826266 0.0526405 U
0.371915 0.0589529 0.371915 -0.760001 U
0.108538 0.0482017 0.108538 -0.403514 U
0.105576 -0.0477369 0.105576 -0.40793 L
0.00724235 -0.0145591 0.00724235 0.663098 L
0.778572 0.0285711 0.778572 0.0313866 U
0.859035 0.0194604 0.859035 0.0745365 U
0.832225 0.0225904 0.832225 0.0568708 U
0.894763 0.0151241 0.894763 0.107024 U
0.882856 0.0165895 0.882856 0.0942302 U
0.245966 0.0593001 0.245966 -0.656104 U
0.873925 0.0176765 0.873925 0.0859749 U
0.153175 0.0537672 0.153175 -0.558737 U
0.75173 0.0314247 0.75173 -0.88305 U
0.356924 0.0593391 0.356924 -0.745023 U
0.823286 -0.0236158 0.823286 0.0586893 L
0.00363392 -0.00982555 0.00363392 1.05876 L
0.350927 0.0594692 0.350927 -0.738862 U
0.257959 0.0595901 0.257959 -0.664232 U
0.844142 0.0212086 0.844142 0.0655211 U
0.841163 0.0215555 0.841163 0.0632605 U
0.341931 0.0596368 0.341931 -0.729183 U
0.263956 0.0597065 0.263956 -0.670726 U
0.117439 0.0495184 0.117439 -0.457137 U
0.329936 0.0598146 0.329936 -0.722635 U
0.936418 0.00984193 0.936418 0.158322 U
0.960207 0.00671074 0.960207 0.197707 U
0.314941 0.0599613 0.314941 -0.713773 U
0.992897 -0.00227472 0.992897 0.233954 L
0.0168088 -0.0217478 0.0168088 0.316525 L
0.924521 0.0113804 0.924521 0.140163 U
0.494745 -0.0532657 0.494745 -0.834846 L
0.224984 -0.0585936 0.224984 -0.662306 L
0.296946 -0.0600149 0.296946 -0.736888 L
0.850099 0.0205123 0.850099 0.0692316 U
0.748747 0.0317358 0.748747 -0.882829 U
0.377911 -0.0587757 0.377911 -0.778352 L
0.647251 0.0415691 0.647251 -0.8696 U
