# x y x_over_c Cp side
0.0611529 0.0365956 0.0611529 -0.465174 U
0.09059 0.0422928 0.09059 -0.629189 U
0.0018126 0.00465329 0.0018126 1.11433 U
0.0324337 0.0280569 0.0324337 -0.215667 U
0.0145296 0.019301 0.0145296 0.208123 U
0.886426 -0.00951988 0.886426 0.0383133 L
0.369973 0.048349 0.369973 -1.04893 U
0.945688 -0.0187906 0.945688 0.120061 L
0.379954 0.04777 0.379954 -1.05031 U
0.876541 -0.00802129 0.876541 0.0262313 L
0.439796 0.0436663 0.439796 -1.06244 U
0.519472 0.036726 0.519472 -1.0666 U
0.97529 -0.023615 0.97529 0.184758 L
0.359991 0.048892 0.359991 -1.03892 U
0.18012 0.0507489 0.18012 -0.815664 U
0.210094 0.0517666 0.210094 -0.877246 U
0.150182 0.0489747 0.150182 -0.762362 U
0.206743 -0.0638467 0.206743 -0.513479 L
0.429828 0.0444216 0.429828 -1.05863 U
0.965424 -0.0219997 0.965424 0.157225 L
0.23666 -0.0659546 0.23666 -0.545391 L
0.320042 0.0506806 0.320042 -1.01697 U
0.916068 -0.0140879 0.916068 0.073594 L
0.489608 0.039492 0.489608 -1.06045 U
0.0493952 -0.0370796 0.0493952 -0.0103642 L
0.755987 -0.0527714 0.755987 -0.108869 L
0.2001 0.0515035 0.2001 -0.85869 U
0.140216 0.0481829 0.140216 -0.761298 U
0.459727 0.0420695 0.459727 -1.05961 U
0.836982 -0.0021741 0.836982 -0.0104176 L
0.61889 0.0262203 0.61889 -1.07434 U
0.678454 0.0191372 0.678454 -0.0990369 U
0.906189 -0.0125516 0.906189 0.0630312 L
0.107591 -0.0513996 0.107591 -0.293153 L
0.469689 0.0412325 0.469689 -1.06015 U
0.787491 0.00484389 0.787491 -0.0473435 U
0.330032 0.0502895 0.330032 -1.02117 U
0.216711 -0.0646159 0.216711 -0.502842 L
0.935817 -0.0172111 0.935817 0.102288 L
0.246641 -0.0665334 0.246641 -0.544733 L
0.399909 0.046515 0.399909 -1.05166 U
0.509519 0.0376712 0.509519 -1.06393 U
0.396544 -0.0695966 0.396544 -0.444055 L
0.346558 -0.0695828 0.346558 -0.487309 L
0.636294 -0.060866 0.636294 -0.206068 L
0.795854 -0.0496421 0.795854 -0.0726449 L
0.765955 -0.0520066 0.765955 -0.100335 L
0.476506 -0.0680826 0.476506 -0.359462 L
0.885489 -0.0418312 0.885489 0.0199002 L
0.726077 -0.0549799 0.726077 -0.132074 L
0.516473 -0.0667483 0.516473 -0.322612 L
0.170135 0.0502493 0.170135 -0.801586 U
0.53937 0.0347682 0.53937 -1.0722 U
0.807293 0.00208006 0.807293 -0.0362706 U
0.589085 0.0295579 0.589085 -1.07442 U
0.31657 -0.06913 0.31657 -0.535353 L
0.866655 -0.00653711 0.866655 0.0160059 L
0.240083 0.0521384 0.240083 -0.911584 U
0.0514597 0.0341568 0.0514597 -0.420857 U
0.176879 -0.061095 0.176879 -0.475518 L
0.994759 -0.0301704 0.994759 0.138279 L
0.827088 -0.000742905 0.827088 -0.0215153 L
0.120316 0.046246 0.120316 -0.756409 U
0.64868 0.0227416 0.64868 -0.1209 U
0.0399841 -0.0337159 0.0399841 0.0897411 L
0.0977732 -0.0495169 0.0977732 -0.267041 L
0.569204 0.03169 0.569204 -1.07168 U
0.100477 0.0437715 0.100477 -0.717657 U
0.777587 0.00620785 0.777587 -0.0544622 U
0.638751 0.0239144 0.638751 -0.155499 U
0.0218126 -0.0254416 0.0218126 0.39883 L
0.290065 0.0516022 0.290065 -0.980947 U
0.728042 0.0128387 0.728042 -0.081001 U
0.220089 0.0519572 0.220089 -0.879993 U
0.28007 0.0518143 0.28007 -0.966869 U
0.0133874 -0.02011 0.0133874 0.647267 L
0.747866 0.010229 0.747866 -0.0713031 U
0.718128 0.0141224 0.718128 -0.0852511 U
0.608957 0.0273505 0.608957 -1.07276 U
0.260077 0.0520824 0.260077 -0.940675 U
0.698294 0.0166559 0.698294 -0.0912408 U
0.196781 -0.0630053 0.196781 -0.472228 L
0.668531 0.0203551 0.668531 -0.102411 U
0.336562 -0.0694687 0.336562 -0.476264 L
0.0685554 -0.0427757 0.0685554 -0.139333 L
0.746018 -0.0535226 0.746018 -0.117897 L
0.389932 0.0471578 0.389932 -1.04913 U
0.599022 0.0284635 0.599022 -1.07247 U
0.366552 -0.069694 0.366552 -0.486046 L
0.147093 -0.0575899 0.147093 -0.429787 L
0.506483 -0.0671155 0.506483 -0.330532 L
0.736048 -0.0542591 0.736048 -0.126416 L
0.326565 -0.0693181 0.326565 -0.504753 L
0.230085 0.0520795 0.230085 -0.901917 U
0.817191 0.000675656 0.817191 -0.0294696 U
0.895443 -0.0408956 0.895443 0.0327953 L
0.536452 -0.0659461 0.536452 -0.302209 L
0.785888 -0.0504413 0.785888 -0.0809623 L
0.875535 -0.0427549 0.875535 0.00694027 L
0.186826 -0.0620892 0.186826 -0.46829 L
