# x y x_over_c Cp side
0.736417 -0.0489907 0.736417 -0.774874 L
0.955679 -0.0135472 0.955679 -0.192146 L
0.616761 -0.0576058 0.616761 -0.753655 L
0.776269 -0.0456758 0.776269 -0.78184 L
0.177311 -0.0598277 0.177311 -0.471336 L
0.686578 -0.0528275 0.686578 -0.768162 L
0.726452 -0.0497828 0.726452 -0.774084 L
0.95536 -0.0281518 0.95536 0.108601 L
0.486972 -0.0642972 0.486972 -0.720784 L
0.439473 0.0468123 0.439473 -0.829491 U
0.566861 -0.060546 0.566861 -0.740105 L
0.299683 0.0534859 0.299683 -0.764353 U
0.407028 -0.0665933 0.407028 -0.681921 L
0.369618 0.0509953 0.369618 -0.781084 U
0.379602 0.0504877 0.379602 -0.788398 U
0.985168 -0.0248318 0.985168 0.164608 L
0.716485 -0.0505615 0.716485 -0.771416 L
0.756345 -0.0473603 0.756345 -0.778547 L
0.646689 -0.055644 0.646689 -0.758548 L
0.676608 -0.0535558 0.676608 -0.764898 L
0.845966 -0.0393819 0.845966 -0.0218829 L
0.806147 -0.0430614 0.806147 -0.788813 L
0.945423 -0.0292436 0.945423 0.0936965 L
0.309678 0.0532491 0.309678 -0.762476 U
0.556878 -0.0610825 0.556878 -0.736849 L
0.496961 -0.063904 0.496961 -0.724819 L
0.2497 0.0539263 0.2497 -0.731697 U
0.0496593 -0.0367252 0.0496593 0.00551114 L
0.0608895 0.0370323 0.0608895 -0.262147 U
0.257097 -0.0652187 0.257097 -0.537595 L
0.476981 -0.0646711 0.476981 -0.715548 L
0.935484 -0.03032 0.935484 0.0781406 L
0.367042 -0.0670692 0.367042 -0.665154 L
0.417023 -0.0664032 0.417023 -0.687667 L
0.30706 -0.0667064 0.30706 -0.606732 L
0.287071 -0.0662614 0.287071 -0.58079 L
0.33705 -0.0670586 0.33705 -0.643483 L
0.618687 0.0306483 0.618687 -0.891201 U
0.187266 -0.0607507 0.187266 -0.492071 L
0.885766 -0.0354938 0.885766 0.0209852 L
0.875818 -0.0364886 0.875818 0.0102746 L
0.397032 -0.0667573 0.397032 -0.675709 L
0.817166 0.00652329 0.817166 -0.933577 U
0.668368 0.0251384 0.668368 -0.895903 U
0.189737 0.0525245 0.189737 -0.678829 U
0.895712 -0.0344869 0.895712 0.0310229 L
0.209718 0.0532686 0.209718 -0.694642 U
0.0402244 -0.0334289 0.0402244 0.0896721 L
0.147502 -0.0565359 0.147502 -0.415853 L
0.357044 -0.0671047 0.357044 -0.655809 L
0.347047 -0.0671011 0.347047 -0.65243 L
0.327053 -0.0669795 0.327053 -0.632085 L
0.297065 -0.066507 0.297065 -0.589433 L
0.267087 -0.0656182 0.267087 -0.556897 L
0.167365 -0.0588218 0.167365 -0.451211 L
0.139868 0.049185 0.139868 -0.596407 U
0.277078 -0.0659659 0.277078 -0.564991 L
0.159796 0.0508052 0.159796 -0.624812 U
0.137589 -0.0552391 0.137589 -0.401323 L
0.013531 -0.0200137 0.013531 0.691302 L
0.935916 -0.0105141 0.935916 -0.972865 L
0.0883261 -0.0468373 0.0883261 -0.25884 L
0.876576 -0.00174874 0.876576 -0.952852 L
0.0309675 -0.0296673 0.0309675 0.206948 L
0.0785677 -0.0446682 0.0785677 -0.193073 L
0.090285 0.04294 0.090285 -0.43983 U
0.0143911 0.0194044 0.0143911 0.390004 U
0.00157403 -0.00473931 0.00157403 1.0972 L
0.945799 -0.012023 0.945799 -0.971227 L
0.985313 -0.0181643 0.985313 0.127011 L
0.00630706 -0.0132962 0.00630706 1.07578 L
0.0322321 0.0282882 0.0322321 -0.0708724 U
0.995008 -0.0203696 0.995008 0.108529 L
0.00688103 0.0130084 0.00688103 0.85283 U
