# x y x_over_c Cp side
0.415044 0.0454581 0.415044 -1.04641 U
0.411741 -0.0694177 0.411741 -0.425716 L
0.333748 -0.0693924 0.333748 -0.520657 L
0.337183 0.0499489 0.337183 -1.03135 U
0.800618 -0.0492418 0.800618 -0.0696211 L
0.490048 -0.0676479 0.490048 -0.345791 L
0.259949 0.0520335 0.259949 -0.95024 U
0.945949 -0.0188404 0.945949 0.0938063 L
0.256519 -0.0670014 0.256519 -0.550282 L
0.568398 -0.0644923 0.568398 -0.27407 L
0.802109 0.00279576 0.802109 -0.0762565 U
0.493116 0.039157 0.493116 -1.05428 U
0.132446 -0.0554308 0.132446 -0.386181 L
0.307043 -0.0688906 0.307043 -0.506437 L
0.646565 -0.0602414 0.646565 -0.203605 L
0.724199 -0.055103 0.724199 -0.143815 L
0.135422 0.0476664 0.135422 -0.703784 U
0.699452 -0.0568373 0.699452 -0.15751 L
0.674648 -0.0584836 0.674648 -0.181101 L
0.596947 -0.0630602 0.596947 -0.248291 L
0.180785 -0.061432 0.180785 -0.5026 L
0.874767 -0.0428149 0.874767 -0.00159579 L
0.726154 0.0130731 0.726154 -0.12332 U
0.184023 0.0508586 0.184023 -0.820862 U
0.676879 0.0193178 0.676879 -0.154165 U
0.648944 0.022699 0.648944 -0.17465 U
0.571152 0.0314696 0.571152 -1.0376 U
0.751463 -0.0531031 0.751463 -0.118576 L
0.921991 -0.0383243 0.921991 0.0576856 L
0.0851682 -0.0467021 0.0851682 -0.195987 L
0.518603 -0.0666493 0.518603 -0.324246 L
0.0877219 0.0416901 0.0877219 -0.607965 U
0.875766 -0.00791512 0.875766 -0.0057224 L
0.753258 0.00949752 0.753258 -0.108605 U
0.599571 0.0283865 0.599571 -0.899984 U
0.206909 -0.0638091 0.206909 -0.49327 L
0.21024 0.051719 0.21024 -0.885879 U
0.230782 -0.0655561 0.230782 -0.518049 L
0.922656 -0.0151336 0.922656 0.0517279 L
0.624179 0.0256051 0.624179 -0.267702 U
0.439836 -0.0689779 0.439836 -0.395844 L
0.851146 -0.00424944 0.851146 -0.0295616 L
0.443069 0.043392 0.443069 -1.05093 U
0.388246 0.0472469 0.388246 -1.04183 U
0.310498 0.0509939 0.310498 -1.01219 U
0.521567 0.0365063 0.521567 -1.04884 U
0.898636 -0.040588 0.898636 0.0289703 L
0.0407983 -0.0337273 0.0407983 0.142308 L
0.988993 -0.0307579 0.988993 0.150084 L
0.899469 -0.011521 0.899469 0.0291835 L
0.159774 0.0495904 0.159774 -0.762493 U
0.849977 -0.0450486 0.849977 -0.0237679 L
0.364579 0.0486236 0.364579 -1.03989 U
0.361173 -0.0696558 0.361173 -0.483785 L
0.38488 -0.0696518 0.38488 -0.45177 L
0.286812 0.0516452 0.286812 -0.98394 U
0.826403 -0.0470935 0.826403 -0.0459527 L
0.0426787 0.0313067 0.0426787 -0.277241 U
0.283359 -0.0681692 0.283359 -0.537573 L
0.827729 -0.00084259 0.827729 -0.0525975 L
0.945458 -0.035973 0.945458 0.0944541 L
0.967464 -0.0336967 0.967464 0.130906 L
0.775659 -0.0512449 0.775659 -0.0910211 L
0.70155 0.0162373 0.70155 -0.135526 U
0.621669 -0.0617086 0.621669 -0.223443 L
0.777309 0.00624076 0.777309 -0.0915388 U
0.542864 -0.0656627 0.542864 -0.29792 L
0.463702 -0.0684276 0.463702 -0.366678 L
0.466865 0.0414605 0.466865 -1.04798 U
0.0623564 -0.040931 0.0623564 -0.0598207 L
0.111065 0.0450959 0.111065 -0.680926 U
0.0646158 0.0372497 0.0646158 -0.593706 U
0.234175 0.0520808 0.234175 -0.915778 U
0.156646 -0.0587616 0.156646 -0.431869 L
0.0203101 -0.0239918 0.0203101 0.54347 L
0.00597071 0.00890311 0.00597071 1.1053 U
0.967787 -0.0223874 0.967787 0.125689 L
0.108276 -0.051454 0.108276 -0.293746 L
0.989113 -0.0265686 0.989113 0.152608 L
0.545733 0.0341162 0.545733 -1.04179 U
0.00544541 -0.00923421 0.00544541 1.08776 L
0.0216636 0.0227745 0.0216636 0.115634 U
