# 
x,y,rho,u,v,P,e_internal
0.4175,0.25,0.529179,0.707105,2.38452e-16,0.410239,1.15789
0.4225,0.25,0.520756,0.723796,2.19217e-16,0.401126,1.13922
0.4275,0.25,0.512437,0.740493,1.87378e-16,0.392183,1.12095
0.4325,0.25,0.504221,0.757198,1.48391e-16,0.383408,1.10307
0.4375,0.25,0.496106,0.773913,1.28058e-16,0.374797,1.08556
0.4425,0.25,0.488093,0.790633,1.5764e-16,0.366349,1.06843
0.4475,0.25,0.480185,0.807351,1.94648e-16,0.358066,1.05166
0.4525,0.25,0.472386,0.824056,1.91416e-16,0.34995,1.03527
0.4575,0.25,0.464698,0.840741,1.90338e-16,0.342002,1.01924
0.4625,0.25,0.457112,0.857421,1.7327e-16,0.334211,1.00356
0.4675,0.25,0.449594,0.874172,1.6383e-16,0.326541,0.988138
0.4725,0.25,0.442071,0.891162,1.62108e-16,0.318917,0.972831
0.4775,0.25,0.43448,0.908541,1.20104e-16,0.311275,0.957508
0.4825,0.25,0.427024,0.925852,8.27887e-17,0.303824,0.942582
0.4875,0.25,0.420778,0.940539,5.02314e-17,0.297621,0.930167
0.4925,0.25,0.419459,0.943673,5.20837e-17,0.296309,0.92754
0.4975,0.25,0.422889,0.935857,1.13364e-16,0.29971,0.934463
0.5025,0.25,0.425705,0.928343,-1.76811e-18,0.302503,0.939697
0.5075,0.25,0.425912,0.928057,5.51753e-17,0.302717,0.940208
0.5125,0.25,0.425755,0.928699,2.07092e-16,0.302559,0.94
0.5175,0.25,0.425837,0.928737,2.15385e-16,0.302637,0.940245
0.5225,0.25,0.426056,0.928516,7.50187e-17,0.302852,0.94079
0.5275,0.25,0.426265,0.92825,-4.1606e-17,0.303059,0.941294
0.5325,0.25,0.426387,0.928036,-3.6122e-17,0.303183,0.941571
0.5375,0.25,0.42643,0.927868,3.42154e-17,0.303231,0.941642
0.5425,0.25,0.426429,0.927749,1.35074e-16,0.303231,0.941596
0.5475,0.25,0.426417,0.927679,1.80077e-16,0.303215,0.941523
0.5525,0.25,0.426402,0.927655,1.77039e-16,0.303194,0.941453
0.5575,0.25,0.426385,0.927651,1.87075e-16,0.303172,0.94139
0.5625,0.25,0.426363,0.927651,2.25179e-16,0.303149,0.941323
0.5675,0.25,0.426336,0.927638,2.85318e-16,0.303126,0.941248
0.5725,0.25,0.426306,0.927606,3.15754e-16,0.303098,0.941154
0.5775,0.25,0.426272,0.927542,3.20353e-16,0.303063,0.941026
0.5825,0.25,0.426234,0.92745,2.73527e-16,0.303019,0.940863
0.5875,0.25,0.426196,0.927349,2.53428e-16,0.302974,0.940694
0.5925,0.25,0.426169,0.927272,2.52901e-16,0.302942,0.940572
0.5975,0.25,0.426156,0.927245,2.35766e-16,0.302935,0.940538
0.6025,0.25,0.426159,0.92727,2.25887e-16,0.302953,0.940594
0.6075,0.25,0.426178,0.927324,2.46642e-16,0.302987,0.94071
0.6125,0.25,0.426214,0.927384,2.9474e-16,0.303026,0.940847
0.6175,0.25,0.426266,0.927432,2.85666e-16,0.303062,0.940976
0.6225,0.25,0.426318,0.927465,2.35417e-16,0.30309,0.941083
0.6275,0.25,0.426354,0.927483,2.40598e-16,0.303111,0.941157
0.6325,0.25,0.42637,0.927489,1.83238e-16,0.303123,0.941197
0.6375,0.25,0.426376,0.927485,1.09738e-16,0.303128,0.941211
0.6425,0.25,0.426384,0.927477,1.1711e-16,0.303128,0.941212
0.6475,0.25,0.426383,0.92747,1.56224e-16,0.303127,0.941206
0.6525,0.25,0.426348,0.927467,1.50458e-16,0.303126,0.941186
0.6575,0.25,0.426284,0.927467,9.73569e-17,0.303125,0.941156
0.6625,0.25,0.426249,0.927467,5.11719e-17,0.303124,0.941139
0.6675,0.25,0.426312,0.927468,4.69285e-17,0.303124,0.941166
0.6725,0.25,0.426465,0.92747,7.58485e-17,0.303125,0.941234
0.6775,0.25,0.426567,0.927473,1.59239e-16,0.303127,0.941285
0.6825,0.25,0.426432,0.927477,2.47857e-16,0.303131,0.941238
0.6875,0.25,0.425976,0.92748,2.94528e-16,0.303135,0.941053
0.6925,0.25,0.425346,0.927481,2.95624e-16,0.303139,0.940793
0.6975,0.25,0.424738,0.92748,2.64952e-16,0.303143,0.940541
